Date,ICBC,HSBC,Lloyds,BNP,DB,RBS
2009-07-28,0.05364047524999999,0.057488311949999996,0.09775911685,0.07630534391089264,0.09451123206122367,9.105847048778704
2009-07-29,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-07-30,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-07-31,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-03,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-04,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-05,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-06,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-07,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-10,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-11,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-12,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-13,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-14,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-17,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-18,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-19,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-20,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-21,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-24,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-25,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-26,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-27,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-28,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-08-31,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-01,0.05364047524999999,0.0612082537,0.0991507894,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-02,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-03,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-04,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-07,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-08,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.060063682387586
2009-09-09,0.05364047524999999,0.0612082537,0.09775911685,0.07630534391089264,0.09451123206122367,9.620062256317084
2009-09-10,0.04991482375,0.057488311949999996,0.09775911685,0.07630534391089264,0.09451123206122367,9.620062256317084
2009-09-11,0.04991482375,0.057488311949999996,0.09775911685,0.07251724233980031,0.08563930809167208,9.620062256317084
2009-09-14,0.04991482375,0.057488311949999996,0.09775911685,0.07251724233980031,0.08563930809167208,9.620062256317084
2009-09-15,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.620062256317084
2009-09-16,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-17,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-18,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-21,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-22,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-23,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-24,0.04991482375,0.057488311949999996,0.09664680355,0.07251724233980031,0.08563930809167208,9.918087526122079
2009-09-25,0.04991482375,0.057488311949999996,0.09664680355,0.06937301362631712,0.08563930809167208,9.918087526122079
2009-09-28,0.048106125050000004,0.057488311949999996,0.09664680355,0.06937301362631712,0.08563930809167208,9.918087526122079
2009-09-29,0.048106125050000004,0.057488311949999996,0.09570047304999998,0.06937301362631712,0.08563930809167208,9.918087526122079
2009-09-30,0.04749631965000001,0.057488311949999996,0.09570047304999998,0.06937301362631712,0.08563930809167208,9.918087526122079
2009-10-01,0.04749631965000001,0.057488311949999996,0.09570047304999998,0.06937301362631712,0.08563930809167208,9.918087526122079
2009-10-02,0.04749631965000001,0.057488311949999996,0.09570047304999998,0.06937301362631712,0.08563930809167208,9.918087526122079
